2019-07-01 23:57:55,b'RT @atulWagare: Terrible water logging in Pant nagar Ghatkopar East. #MumbaiRains #MumbaiRainsLive #Mumbai https://t.co/RghJj19fkt'
2019-07-01 23:57:55,b'RT @atulWagare: Terrible water logging in Pant nagar Ghatkopar East. #MumbaiRains #MumbaiRainsLive #Mumbai https://t.co/RghJj19fkt'
2019-07-01 23:57:55,b'RT @atulWagare: Terrible water logging in Pant nagar Ghatkopar East. #MumbaiRains #MumbaiRainsLive #Mumbai https://t.co/RghJj19fkt'
2019-07-01 23:57:55,b'RT @atulWagare: Terrible water logging in Pant nagar Ghatkopar East. #MumbaiRains #MumbaiRainsLive #Mumbai https://t.co/RghJj19fkt'
2019-07-01 23:57:04,b'RT @MumbaiMirror: Attempts being made to reach commuters stranded inside #trains.\n@Central_Railway says food stalls have been opened at Dad\xe2\x80\xa6'
2019-07-01 23:56:13,b'RT @SumitraRoyTOI: Hats off to traffic cops who are working in this torrential downpour. #jvlr #mumbai #mumbairains @MumbaiPolice @mtptraff\xe2\x80\xa6'
2019-07-01 23:55:17,b'RT @martechmeetup: Here is the amazing journey of all the #Martech Meetups till date. Peer forum where #Marketing meets #Tech ! Martech #Ev\xe2\x80\xa6'
2019-07-01 23:54:53,b'\xf0\x9f\x91\xa3\xf0\x9f\x99\x8f\nWin.\n\nCurrently.... Yagate \xe2\x96\xb6\xe2\xad\x95 #Music\n#strasbourg\n#montpellier\n#Bordeaux\n#tanzania\n#Video\n#New\n#london\n#mumbai\xe2\x80\xa6 https://t.co/GVfXIoKDMR'
2019-07-01 23:53:03,"b'#trainupdate railway tracks are being flooded at kurla station PNVL end , kurla yard and Tilak Nagar station csmt e\xe2\x80\xa6 https://t.co/LmUrvo8kCq'"
2019-07-01 23:52:13,"b""RT @MumbaiMirror: That's not a river. These are visuals from #Sion railway station. Many commuters still waiting to get home but are strand\xe2\x80\xa6"""
2019-07-01 23:51:52,"b""#Mumbai is suffering...#Maharashtra is suffering... But #BJP #Shivsena Fadanvis govt hasn't been able to show one b\xe2\x80\xa6 https://t.co/n6hwCOu3lN"""
2019-07-01 23:51:08,"b'RT @NikS_Gooner1886: Heavy rains and heavy waterlogging at 60 Feet Road, Ghatkopar East. Road starring from Signal to Vikrant Circle is tot\xe2\x80\xa6'"
2019-07-01 23:49:45,"b'Heavy rains in #Mumbai, #spicejet aircraft skidin at #Mumbai airport, has delayed departures from #GOA.\xe2\x80\xa6 https://t.co/IVDXoQDjqY'"
2019-07-01 23:48:46,b'RT @damuNBT: We need dedicated officers for #mumbai in #monsoon Its raining in mumbai. Train getting disturbed every day but @drmbct\n went\xe2\x80\xa6'
2019-07-01 23:48:41,"b'Right now: Thunderstorm, Temperature: 25C, Humidity: 100, Wind: From WNW at 4.63KPH, Updated: 5:18AM #Mumbai #Weather'"
2019-07-01 23:48:26,b'Struggle krte rho\xf0\x9f\x98\x81\n\n#artist #mumbai #bollywood #dharmaproduction #karanjohar #ektakapoor #naidawalagrandson # https://t.co/Lj5ukC2bU1'
2019-07-01 23:47:25,b'Three to five persons might be trapped in debris of wall collapse at Kurar in Malad in #Mumbai @DeccanHerald'
2019-07-01 23:45:40,"b'RT @abhijeetg: While the entire #nation #sleeps, #Mumbaikars stay awake to help their fellow #city residents \n\nThat is the true #spirit of\xe2\x80\xa6'"
2019-07-01 23:45:36,b'RT @damuNBT: We need dedicated officers for #mumbai in #monsoon Its raining in mumbai. Train getting disturbed every day but @drmbct\n went\xe2\x80\xa6'
2019-07-01 23:44:52,b'RT @SumitraRoyTOI: Hats off to traffic cops who are working in this torrential downpour. #jvlr #mumbai #mumbairains @MumbaiPolice @mtptraff\xe2\x80\xa6'
2019-07-01 23:43:37,"b'My early morning drive to work has shown me once again that this city will not be defeated. Come rain, bad roads &amp;\xe2\x80\xa6 https://t.co/vte2o0aBc4'"
2019-07-01 23:41:42,"b""RT @TheSimpleBuoy: This is the condition of #Mumbai..\nOne day heavy rains and it's start flooding. Water logging all over, traffic jammed.\xe2\x80\xa6"""
2019-07-01 23:41:11,b'#MumbaiRains @SkymetWeather forecast heavy rains in #Mumbai @DeccanHerald https://t.co/mJyYRP1I7H'
2019-07-01 23:39:39,"b'I don\xe2\x80\x99t understand how and why people boast about #Mumbai to be an amazing city. Terrible infrastructure, pathetic\xe2\x80\xa6 https://t.co/mSo84yt4Tw'"
2019-07-01 23:38:15,"b""RT @abusayz: Thanks to @BESTMumbai for your efforts and all who are working in. This is 12 o'clock from Jogeshwari #Mumbai #MumbaiRainsLive\xe2\x80\xa6"""
2019-07-01 23:35:22,b'Please Be careful #mumbai \n#MumbaiRainsLiveUpdates \n#MumbaiRains\n#MumbaiRainsLive #mumbaimonsoon #MumbaiRain https://t.co/xTBwzolzJ3'
2019-07-01 23:35:00,"b""This is the condition of #Mumbai..\nOne day heavy rains and it's start flooding. Water logging all over, traffic jam\xe2\x80\xa6 https://t.co/jAneDEGLUZ"""
2019-07-01 23:34:34,b'Municipal Commissioner of Greater Mumbai has decleared today (2nd July)as Public Holiday to the all Govt and privat\xe2\x80\xa6 https://t.co/mJO6WudRLl'
2019-07-01 23:32:26,b'RT @alka_MIRROR: Utter failure of coordination among different agencies in #Mumbai. Not a single BEST bus was made available for  railway p\xe2\x80\xa6'
2019-07-01 23:31:45,"b'RT @srinivasiyc: Although BJP-Sena Govt has the richest municipal corp in India at its disposal, yet every single rain spell has brought no\xe2\x80\xa6'"
2019-07-01 23:26:46,b'RT @atulWagare: Terrible water logging in Pant nagar Ghatkopar East. #MumbaiRains #MumbaiRainsLive #Mumbai https://t.co/RghJj19fkt'
2019-07-01 23:24:42,b'Hey #Mumbai this one for you. Stay save\xe2\x98\x94\xef\xb8\x8f\xe2\x98\x94\xef\xb8\x8f\xe2\x98\x94\xef\xb8\x8f \nhttps://t.co/37JoGirsp0'
2019-07-01 23:24:01,"b'Commuters still stranded in trains,  buses in #Mumbai,  suburbs #MumbaiRainsLiveUpdates @DeccanHerald'"
2019-07-01 23:23:23,b'@Raajeev_romi He is paying the price for his flamboyance arrogance he could have had what he wanted but his weaknes\xe2\x80\xa6 https://t.co/iOL2uwqY4g'
2019-07-01 23:23:04,"b'RT @abhijeetg: While the entire #nation #sleeps, #Mumbaikars stay awake to help their fellow #city residents \n\nThat is the true #spirit of\xe2\x80\xa6'"
2019-07-01 23:22:27,"b""#Mumbai is drowning.\nFloods in tilak nagar chembur by 4ft\nWhat's the update \n#MumbaiRains\n#MumbaiRain #Mumbai #mumbaimonsoon"""
2019-07-01 23:21:43,"b'RT @airvistara: BOM #Mumbai airport runway closed after this incident. Multiple diversions, incl 5 @airvistara flights: \nA320 UK953 DEL-BOM\xe2\x80\xa6'"
2019-07-01 23:20:03,"b'RT @taran_adarsh: Kartik Aaryan, Sara Ali Khan and Randeep Hooda... Imtiaz Ali completes filming of his new film [not titled yet] in #Himac\xe2\x80\xa6'"
2019-07-01 23:19:48,"b""Rest India think that #mumbai citizens are smart &amp; telligent bt it's in there mind due to popularity of city othrwi\xe2\x80\xa6 https://t.co/C5f3kciFwg"""
2019-07-01 23:19:39,b'Please Be careful #mumbai \n\n#MumbaiRainsLiveUpdates \n#MumbaiRains \n#abraampandey https://t.co/iHA3FItD8E'
2019-07-01 23:18:59,b'RT @AndrewTMackay: This is me in #ChimbaiVillage #Bandra #Mumbai bargaining for my fish! https://t.co/IlQVIW37hc'
2019-07-01 23:18:13,b'Be Safe Mumbaikars !!\n\n@SkymetWeather #MumbaiRainsLive #MumbaiRains #MumbaiRain #Mumbai #mumbaimonsoon #MumbaiRainsLiveUpdates'
